#SampleID,mean,std
g__Anaplectus,1.4252762e-08,2.9524012e-06
g__Anatoma,1.3190324e-08,2.7558967e-06
g__Anatonchus,2.6621942e-08,6.8524623e-06
g__Ancalomicrobium,2.6893324e-06,0.00017594031
g__Anchialina,1.05706796e-07,1.2398802e-05
g__Anchimolgus,9.2007935e-10,4.7211995e-07
g__Ancistrosyllis,8.969205e-09,4.053249e-06
g__Ancistrum,1.0352517e-09,3.76879e-07
g__Ancora,5.3700805e-05,0.0035693576
g__Ancylobacter,7.426913e-07,4.0962517e-05
g__Ancylocoelium,4.0096287e-10,2.0574592e-07
g__Ancylomarina,1.0451958e-07,1.7311779e-05
g__Ancyromonas,7.2469434e-06,0.0010539789
g__Andalucia,1.7281796e-05,0.0015235407
g__Andersenia,3.662411e-09,1.8792915e-06
g__Anderseniella,0.00015581948,0.0022794616
g__Andhracoides,1.4858632e-08,6.425055e-06
g__Anditalea,9.1846846e-07,0.00013740147
g__Andreprevotia,2.662731e-07,3.8093298e-05
g__Androsina,7.345364e-10,3.7691237e-07
g__Andvakia,5.5717936e-10,2.8590523e-07
g__Anelpistina,8.8323726e-10,4.5321522e-07
g__Aneurinibacillus,1.0697481e-05,0.00050137757
g__Angelakisella,1.28817055e-05,0.00040672516
g__Angiopteris,6.596594e-09,1.59776e-06
g__Anguillicola,3.8062942e-10,1.9531223e-07
g__Anguillospora,2.143296e-09,1.0997886e-06
g__Anguillosyllis,1.6111821e-07,7.466752e-05
g__Anguinella,3.5156083e-07,0.00016000442
